A,B,C,D,E,F
0,10.24,8,49.12,34.7106,41.3664
36,45.97,29,153.97,10.88,8.81048
17,27.32,13,74.32,72.1701,32.1322
23,33.18,25,134.08,73.9536,37.6812
2,12.04,37,194.35,-44.4091,-20.7083
25,35.08,39,204.1,37.2817,44.4305
10,20.32,5,34.29,-43.0337,-13.1567
6,16.41,7,44.16,-17.6121,-11.4374
19,29.12,0,9.13,-47.4948,-39.8528
0,10.29,2,19.14,-59.0454,-67.9238
17,27.45,17,94.13,-80.0839,-33.9936
1,11.01,3,24.16,45.738,60.6963
23,33.39,34,179.47,-12.6051,-22.7401
0,10.1,1,14.37,60.6658,6.37623
7,17.18,23,124.47,51.0955,29.5
16,26.05,5,34.22,-68.8101,-46.413
33,43.27,3,24.13,17.0458,23.4615
6,16.21,33,174.18,54.9927,49.5156
19,29.12,32,169.37,44.8318,49.7907
3,13.44,27,144.03,75.0265,17.3212
3,13.1,26,139.46,35,60.6218
28,38.01,6,39.08,-21.0132,-64.6718
2,12.28,32,169.12,32.1796,30.0079
15,25,5,34.44,43.9834,70.388
33,43.35,12,69.17,-54.3366,-13.5476
38,48.44,14,79.13,-49.167,-16.9295
12,22.53,28,149.15,52.8614,58.7084
25,35.18,4,29.26,-4.9939,-9.80107
8,18.21,31,164.3,32.4525,28.2105
18,28.53,24,129.47,6.55322,4.58861
19,29.23,19,104.02,-24.3593,-5.62377
10,20.04,16,89.27,25.0688,72.8049
3,12.99,9,54.44,-93.5395,-21.5953
27,37.49,34,179.55,4.19335,2.72319
16,26.41,26,138.97,29.4138,80.8135
20,30.15,33,174.37,2.76151,1.17219
20,30.1,35,184.33,-3.97018,-0.487477
24,34.56,7,44.31,-36.8506,-17.9732
4,14.23,15,84.56,-18.1726,-38.9712
9,19.5,36,189.24,-72.8758,-12.85
2,12.35,13,74.33,-22.6413,-19.6818
24,34.47,22,119.09,-27.6935,-54.3514
16,26.4,9,54.2,36.0517,8.32318
26,36.11,27,143.98,-53.9895,-10.4945
34,44.51,21,114.39,16.8139,58.6369
37,47.33,38,199.07,26.8983,87.98
39,49.25,31,164.38,30.4286,65.2541
19,29.46,13,74.25,-20.978,-51.9223
9,19.48,37,194.25,-28.7509,-21.6653
24,34.07,8,49.54,4.80631,1.37819
37,46.99,37,194.12,-74.5891,-7.83963
15,25.21,30,159.03,-37.5099,-40.2244
36,46.41,23,123.99,-7.26386,-14.2561
25,35.5,11,64.19,-18.2321,-56.1123
16,26.34,38,199.41,39.744,63.6036
25,35.49,37,194,-88.9363,-27.1905
4,14.19,38,199.23,-78.2312,-10.9947
21,31.26,19,104.01,62.098,34.4215
32,42.33,29,154.2,-70.921,-55.4095
31,41.23,0,9.38,-16.9145,-6.15636
36,46.05,27,144.3,39.6472,48.9602
8,18.04,1,14.43,-27.1536,-20.4617
2,12.44,31,164.5,-43.6646,-36.6389
37,47.33,23,124.36,10.4007,3.58125
2,12.11,12,69.19,-28.5788,-16.5
10,20.2,35,184.26,-26.6059,-87.0237
16,26.14,37,194.46,-23.8464,-38.1621
31,41.54,22,119.31,-43.4231,-53.623
9,19.37,14,79.1,23.9431,45.0303
19,29.5,4,29.08,26.8413,39.7938
38,48.27,15,84.3,25.5863,29.4337
31,41.24,33,174.06,28.0678,91.8052
4,14.36,18,99.56,5.82177,1.45153
5,15.04,21,114.28,29.9686,74.1747
0,10.08,38,199.01,32.6753,12.5429
36,46.3,16,89.4,91.13,38.6824
19,29.47,15,84.29,-87.9043,-13.9227
12,22.25,15,84.07,-50.7101,-52.5118
31,41.21,29,154.5,-64.6439,-6.79434
18,28.32,33,174.13,-16.8508,-22.3618
3,13.45,21,114.08,-68.6075,-34.9572
39,49.19,3,24.44,-59.1562,-73.0517
3,13.35,14,79.35,28.0649,63.0346
20,29.97,17,94.26,-62.3257,-71.6974
2,12.2,32,169.52,-15.5429,-12.5864
3,13.32,4,29.34,64.5577,13.7222
29,39.55,29,154.21,16.6285,3.5345
23,32.97,5,34.54,-71.7188,-39.7544
31,41.35,7,44.05,-16.7714,-12.6381
13,22.99,36,189.42,-28.5357,-12.1127
21,31.42,23,124.22,41.207,84.4866
12,22.12,19,104.5,-6.51138,-18.9104
20,30,16,89.42,67.6579,24.6254
32,42.4,25,134.36,-59.1036,-75.649
3,13.46,11,64.08,65.7488,5.75227
19,29.04,25,133.99,26.5292,17.8942
24,34.53,35,184.4,-37.9004,-34.1256
20,30.46,2,19.25,-92.8427,-14.7048
15,25.27,10,58.98,-19.5089,-24.0915
18,28.42,15,84.38,-83.1825,-11.6905
21,31.05,0,9.36,69.9432,56.6388
18,28.31,20,109.02,-29.3893,-40.4508
24,34.39,10,59.35,8.77118,28.6891
33,43.03,39,204.32,31.9469,22.3695
33,43.46,5,33.97,23.3144,18.8796
13,23.48,2,19.02,-26.2386,-14.5443
9,19.38,31,164.06,12.5039,12.9481
10,20.52,15,84.09,9.95858,8.35623
20,30.15,11,64.16,-10.6066,-10.6066
0,10.35,19,104.42,88.0818,42.9603
